Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Listners,,,,30-07-2024 13:16:17,30-07-2024 13:16:18,"0,501s",PASSED
,,,,,,,
Test Cases/TC UDEMY/Listner,,,,30-07-2024 13:16:17,30-07-2024 13:16:18,"0,212s",PASSED
Start listener action : beforeTest,,,,30-07-2024 13:16:17,30-07-2024 13:16:17,"0,011s",PASSED
"println(""
 I am inside the Test Case 
"")",,,,30-07-2024 13:16:18,30-07-2024 13:16:18,"0,005s",PASSED
Start listener action : afterTest,,,,30-07-2024 13:16:18,30-07-2024 13:16:18,"0,024s",PASSED
